ID,Subscribed
38441,Yes
40403,No
3709,Yes
37422,Yes
12527,No
16013,Yes
196,No
8516,No
31208,No
38462,No
17041,Yes
4920,Yes
802,No
1738,Yes
9565,No
29743,No
34946,Yes
1671,Yes
2868,No
6478,Yes
1572,Yes
44771,Yes
30088,No
19021,No
15704,Yes
39812,Yes
21170,Yes
923,Yes
17887,No
6778,Yes
18586,No
7501,Yes
13932,No
16318,No
8055,No
39970,No
5903,Yes
8507,No
27726,Yes
28430,No
3157,No
40327,No
17768,Yes
44637,Yes
28671,No
6074,Yes
44392,Yes
22711,No
41313,Yes
32038,Yes
23107,No
5702,No
33330,Yes
22357,No
10518,No
17096,Yes
43876,No
16970,Yes
29949,No
13281,No
8266,No
15089,No
20091,No
17458,No
10378,No
27033,No
29228,Yes
9839,No
2477,Yes
20206,No
10782,No
25825,Yes
20256,No
1317,No
38949,Yes
35365,No
22834,No
988,Yes
16241,Yes
30947,Yes
24402,Yes
42898,Yes
30794,Yes
31755,Yes
41412,Yes
22497,Yes
40939,Yes
4834,Yes
32014,No
13584,No
14004,Yes
4204,Yes
20358,Yes
1938,No
39385,Yes
26264,No
24359,Yes
25605,Yes
6306,Yes
34217,Yes
30533,No
13893,No
21255,No
3318,Yes
18406,No
35176,Yes
876,No
39785,Yes
28104,No
13976,No
37719,Yes
18822,Yes
7345,No
27209,Yes
3870,Yes
43824,Yes
25178,No
22487,No
16823,No
720,No
20649,No
5723,Yes
30214,No
5357,Yes
5420,No
28607,Yes
2799,No
40420,No
44698,Yes
22563,No
9519,No
42903,Yes
33189,Yes
32604,Yes
43088,Yes
27773,Yes
15018,Yes
27991,Yes
21980,No
39238,Yes
40343,No
36542,No
12897,No
34781,Yes
5030,No
30468,Yes
31645,Yes
43949,Yes
37482,Yes
27319,No
9757,Yes
19208,No
13326,No
39364,Yes
33434,Yes
24116,No
43255,Yes
44815,Yes
4931,No
12012,No
23416,No
40286,Yes
8160,Yes
1747,Yes
26687,Yes
5439,No
25672,Yes
30587,No
40624,Yes
13524,Yes
